Razão Social (Registro ANS);Cobertura;Porte;Classificação no Mês;Classificação no Mês Anterior;jan/18;dez/17;nov/17;out/17;set/17;ago/17;jul/17;jun/17;mai/17;abr/17;mar/17;fev/17;Competência;Data de atualização
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS EMPREGADOS DA COPASA (416568);Médico Hospitalar;Médio;216;218;0,13;0;0;0;0;0;0;0;0;0;0;0,13;201801;26/02/2018 11:03
ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE DOS SERVIDORES PÚBLICOS DO MUNICÍPIO DE JOINVILLE (414913);Médico Hospitalar;Pequeno;85;91;2,98;2,92;2,87;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DE ASSISTÊNCIA MÉDICO HOSPITALAR DOS MAGISTRADOS DO ESTADO DO PARANÁ (417955);Médico Hospitalar;Pequeno;189;194;0;0;0;2,23;2,24;2,24;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DE BENEFICÊNCIA E FILANTROPIA SÃO CRISTOVÃO (314218);Médico Hospitalar;Grande;16;22;4,13;3,8;5,6;6,66;6,59;5,96;5,6;5,4;5,18;4,05;4,06;3,09;201801;26/02/2018 11:03
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO (418731);Médico Hospitalar;Pequeno;189;144;0;1,2;1,2;1,2;2,41;3,6;2,73;0,73;0,61;0,61;1,22;0,62;201801;26/02/2018 11:03
ASSOCIACAO DE SAUDE HOLAMBRA (360783);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DE SAÚDE PORTUGUESA DE BENEFICÊNCIA (417530);Médico Hospitalar;Médio;28;38;4,74;4,26;4,91;4,76;4,16;3,69;3,06;3,89;2,78;3,11;2,46;2,63;201801;26/02/2018 11:03
ASSOCIAÇÃO DO FISCO DE ALAGOAS (393533);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL (420000);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE SANTOS (418021);Médico Hospitalar;Médio;52;41;2,98;4,14;5,17;5,53;4,11;3,88;3,03;2,66;1,6;1,48;0,9;0,67;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS AGENTES FISCAIS DE RENDAS DO ESTADO DE SÃO PAULO- AFRESP (317632);Médico Hospitalar;Médio;178;218;0,5;0;0,5;0,5;0,5;0;0,5;0,5;0,5;0;0;0,51;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO (387185);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS AUDITORES FISCAIS DO ESTADO DA PARAÍBA - AFRAFEP (330281);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;2,48;2,47;2,47;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC (384704);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;2,43;2,43;4,88;2,45;2,46;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS FISCAIS DE TRIBUTOS ESTADUAIS DO RS - AFISVEC (382639);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS FUNCIONÁRIOS DO FISCO DO ESTADO DE GOIÁS (306754);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS FUNCIONÁRIOS FISCAIS DO ESTADO DO AMAZONAS - AFFEAM (388092);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS FUNCIONÁRIOS PÚBLICOS DO ESPÍRITO SANTO (394271);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;1,8;3,61;3,61;1,8;1,8;1,8;10,72;201801;26/02/2018 11:03
ASSOCIAÇAO DOS FUNCIONARIOS PUBLICOS DO ESTADO DO RIO GRANDE DO SUL (417599);Médico Hospitalar;Médio;131;139;1,07;1,07;0,62;0,46;0,77;1,08;1,08;0,77;0,62;0,62;0,46;0,46;201801;26/02/2018 11:03
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA (343129);Médico Hospitalar;Pequeno;189;93;0;2,79;2,79;2,79;2,79;2,79;5,58;5,57;5,57;2,78;0;0;201801;26/02/2018 11:03
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM (420093);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS SERVIDORES FISCAIS DO ESTADO DA BAHIA (335754);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;1,63;1,63;1,63;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO (309028);Médico Hospitalar;Médio;209;172;0,28;0,56;0,28;0,28;0;0,58;0,58;0,59;0;0;0,3;0,61;201801;26/02/2018 11:03
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ (419591);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO DR. BARTHOLOMEU TACCHINI (342556);Médico Hospitalar;Médio;162;178;0,67;0,5;0,51;1,01;1,18;0,84;0,67;0,67;0,84;0,51;0,34;0,17;201801;26/02/2018 11:03
ASSOCIAÇÃO EVANGELICA BENEFICENTE DE LONDRINA (326755);Médico Hospitalar;Médio;45;50;3,46;3,46;1,85;2,32;1,86;2,8;2,81;3,06;2,6;2,6;2,13;1,89;201801;26/02/2018 11:03
ASSOCIAÇÃO FUNDO DE PROTEÇÃO À SAÚDE (416584);Médico Hospitalar;Pequeno;185;191;0,52;0,52;0,52;0;0;0;0;0;0;0;0,54;0,54;201801;26/02/2018 11:03
ASSOCIAÇÃO GOIANA DO MINISTÉRIO PÚBLICO (402206);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA (419150);Médico Hospitalar;Pequeno;66;84;4,13;3,52;1,16;0,58;0;0;0;0;0,56;1,12;1,68;1,68;201801;26/02/2018 11:03
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO (417211);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO PADRE ALBINO SAÚDE (420158);Médico Hospitalar;Pequeno;108;117;1,81;1,82;1,21;0;0;1,09;1,04;1,58;0,53;0,78;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ (418617);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS (419958);Médico Hospitalar;Pequeno;135;79;1,24;3,72;2,47;3,64;1,2;2,39;1,21;1,22;3,67;4,93;4,69;1,67;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - APAS SOROCABA/VOTORANTIM (410128);Médico Hospitalar;Pequeno;189;133;0;1,38;1,38;1,38;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE - VALE DO RIBEIRA (409405);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE DA BAIXADA SANTISTA (410110);Médico Hospitalar;Pequeno;156;168;0,88;0,88;1,75;0,88;0,87;0,86;0,85;0,84;0;1,66;1,66;1,66;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS) (414212);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;2,08;2,07;2,07;0;0;0;2,02;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS (407569);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BAURU (406945);Médico Hospitalar;Pequeno;189;194;0;0;0;1,07;2,14;2,13;1,06;0;0;0;0;1,03;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU (408093);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE DRACENA (408026);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA (406635);Médico Hospitalar;Pequeno;84;90;3;2,99;2,99;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ (408034);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE PRESIDENTE PRUDENTE (APAS) (410608);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE PRESIDENTE VENCESLAU (411248);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS) (408794);Médico Hospitalar;Pequeno;189;194;0;0;0;1,67;1,66;1,66;0;0;0;1,64;1,64;1,63;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA (408263);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406813);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;7,63;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE (406937);Médico Hospitalar;Pequeno;189;194;0;0;0;0;3,27;3,26;3,24;1,62;1,62;1,63;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA A SAÚDE (409413);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO POLICIAL MILITAR DE ASSISTËNCIA A SAÚDE (407097);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO PORTUGUESA BENEFICENTE VASCO DA GAMA (346292);Médico Hospitalar;Pequeno;15;19;36,44;26,83;24,87;8,19;16,18;15,97;7,88;0;0;0;0;7,43;201801;26/02/2018 11:03
ASSOCIAÇÃO PRÓ-SAÚDE (333328);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO SANTA CASA SAÚDE DE ARAÇATUBA (418803);Médico Hospitalar;Pequeno;119;123;1,62;1,62;1,63;1,15;1,82;1,93;0,64;0,65;1,3;1,3;0,65;0;201801;26/02/2018 11:03
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS (419249);Médico Hospitalar;Médio;55;40;2,91;4,21;4,78;4,6;3,26;3,18;3,47;5,04;5,2;5,16;3,91;3,31;201801;26/02/2018 11:03
ASSOCIAÇÃO SANTA CASA SAÚDE DE SOROCABA (418854);Médico Hospitalar;Pequeno;70;49;3,88;6,99;10,13;11,12;9,74;10,76;8,31;6,42;3,1;2,99;5,22;5,92;201801;26/02/2018 11:03
ASSOCIAÇÃO SÃO FRANCISCO VIDA (419141);Médico Hospitalar;Médio;89;93;1,72;1,73;2,16;1,3;2,18;1,76;1,78;0;0,46;0,92;1,4;1,44;201801;26/02/2018 11:03
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE (418218);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO SAÚDE SÃO JOSÉ (418919);Médico Hospitalar;Pequeno;90;119;2,6;1,76;0;0;0;0;0;0;0,82;0,83;2,5;1,67;201801;26/02/2018 11:03
ASSOCIAÇAO UNISAUDE MARAU (333867);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ASSOCIAÇÃO VALEPARAIBANA DE ASSISTÊNCIA MÉDICA POLICIAL (412635);Médico Hospitalar;Pequeno;189;153;0;1,09;1,08;1,07;0;1,05;1,05;1,04;0;0;1,03;1,03;201801;26/02/2018 11:03
ASTRA S/A INDUSTRIA E COMERCIO (358410);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
ATÍVIA SERVIÇOS DE SAÚDE S/A (320510);Médico Hospitalar;Pequeno;98;106;2,24;2,24;2,97;2,2;2,9;2,89;2,12;2,11;0,7;0,72;0,73;0,73;201801;26/02/2018 11:03
AUSTACLINICAS ASSISTÊNCIA MÉDICA E HOSPITALAR LTDA (327417);Médico Hospitalar;Médio;206;198;0,31;0,31;0,16;0,63;0,95;1,12;0,64;0,32;0,32;0,49;0,49;0,33;201801;26/02/2018 11:03
BARDELLA S/A INDÚSTRIAS MECÂNICAS (346403);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
BENEFICENCIA CAMILIANA DO SUL (318299);Médico Hospitalar;Médio;128;171;1,18;0,59;0,6;0,75;0,9;0,76;1,22;0,77;1,08;0,93;1,08;0,62;201801;26/02/2018 11:03
BENSAUDE PLANO DE ASSISTENCIA MEDICA HOSPITALAR LTDA. (366561);Médico Hospitalar;Médio;165;143;0,61;1,01;1;1;0,8;0,8;1,2;1,6;1,4;1,4;0,8;0,6;201801;26/02/2018 11:03
BIO SAÚDE SERVIÇOS MÉDICOS LTDA (402966);Médico Hospitalar;Médio;8;19;8,3;6,41;5,5;4,95;5,85;4,32;4,31;3,59;3,49;3,32;3,81;4,98;201801;26/02/2018 11:03
BIOLIFE SAUDE OPERADORA DE PLANOS DE SAUDE LTDA (419311);Médico Hospitalar;Pequeno;4;2;135,75;165,91;90,5;53,97;58,68;77,59;105,59;121,68;148,88;125,13;48,91;49,94;201801;26/02/2018 11:03
BIOVIDA SAÚDE LTDA. (415111);Médico Hospitalar;Grande;8;13;5,5;5,43;5,79;5,41;5,57;5,83;6,13;5,9;5,91;5,6;4,8;4,01;201801;26/02/2018 11:03
BOA VISTA ENERGIA S/A (416983);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
BRADESCO SAÚDE S.A. (005711);Médico Hospitalar;Grande;9;10;5,13;5,71;6,14;6,65;6,37;5,96;5,39;4,79;4,85;4,19;4,44;4,15;201801;26/02/2018 11:03
BRF S/A (417238);Médico Hospitalar;Médio;217;206;0,12;0,25;0,25;0,25;0,12;0,12;0;0;0;0;0;0,12;201801;26/02/2018 11:03
CABERJ INTEGRAL SAÚDE S.A (415774);Médico Hospitalar;Médio;5;4;11,65;10,92;9,02;12,23;14,36;14,67;11,37;7,58;7,15;6,57;7,94;8,03;201801;26/02/2018 11:03
CAIXA ASSISTENCIAL DOS AUDITORES FISCAIS DA RECEITA FEDERAL DO BRASIL (416657);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA ASSISTENCIAL E BENEFICENTE DOS FUNCIONÁRIOS DA ACARESC (327557);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0,94;0,94;201801;26/02/2018 11:03
CAIXA ASSISTENCIAL UNIVERSITARIA DO RIO DE JANEIRO (347825);Médico Hospitalar;Pequeno;189;194;0;0;0;13,87;13,83;13,76;3,45;6,93;6,94;3,45;0;0;201801;26/02/2018 11:03
CAIXA ASSISTENCIAL UNIVERSITÁRIA DO RIO GRANDE DO NORTE (314251);Médico Hospitalar;Pequeno;99;158;2,14;1,07;3,2;3,2;2,14;0;1,07;1,08;1,08;0;0;0;201801;26/02/2018 11:03
CAIXA BENEFICENTE DOS FUNCIONARIOS DO BANCO DO ESTADO DE SÃO PAULO (352331);Médico Hospitalar;Médio;33;30;4,08;4,96;4,18;4;3,38;3,36;3,18;2;1,56;0,99;1,27;1,26;201801;26/02/2018 11:03
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU (414026);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA  DOS EMPREGADOS DA EMPRESA  BRASILEIRA DE PESQUISA  AGROPECUÁRIA (416401);Médico Hospitalar;Médio;96;97;1,65;1,65;1,24;0,41;0,41;1,24;0,83;1,65;1,24;1,65;1,65;1,65;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA À SAÚDE - CABERJ (324361);Médico Hospitalar;Médio;10;39;7,25;4,26;10,18;10,1;11,26;8,26;17,62;12,67;11,46;7,88;9,71;9,7;201801;26/02/2018 11:03
CAIXA DE ASSISTENCIA A SAUDE DA UNIVERSIDADE (316873);Médico Hospitalar;Médio;151;185;0,8;0,4;1,2;1,6;1,59;1,19;0,79;0,79;1,58;1,58;1,57;0,78;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA A SAÚDE DA UNIVERSIDADE (330027);Médico Hospitalar;Pequeno;189;194;0;0;0;0;0;0;0;0;0;0;0;0;201801;26/02/2018 11:03
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO (417661);Médico Hospitalar;Pequeno;96;104;2,28;2,28;2,28;2,27;2,27;2,26;0;0;0;0;0;0;201801;26/02/2018 11:03
